network,autonomous_system_number,autonomous_system_organization
2804:4bc::/32,262462,"Aranet Comunicacao Ltda"
2804:4c0::/32,3549,LVLT-3549
2804:4c4::/32,28271,"DataCorpore Servicos e Representacoes"
2804:4c8::/44,262465,"Masterradius Telecom Ltda EPP"
2804:4cc::/32,262466,"WNX TELECOM LTDA - ME"
2804:4d4::/32,262469,"WISP ICONECTA SERVICOS DE REDE LTDA"
2804:4d8::/32,52995,"TEN INTERNET Ltda"
2804:4dc::/32,262474,"ALTERNA TELECOMUNICACOES E CONECTIVIDADE LTDA EPP"
2804:4e4::/32,262476,"PROVEDOR BRCENTRAL.NET LTDA"
2804:4ec::/32,28668,"Silva & Silveira Provedor de Internet Ltda"
2804:4f0::/32,22129,"Task Software Ltda"
2804:4f4::/32,262767,"Avelino e Rodrigues LTDA"
2804:4f8::/36,28263,"Ensite Brasil Telecomunicacoes Ltda - ME"
2804:4f8:2000::/36,28263,"Ensite Brasil Telecomunicacoes Ltda - ME"
2804:4f8:4000::/35,28263,"Ensite Brasil Telecomunicacoes Ltda - ME"
2804:4f8:6000::/36,28263,"Ensite Brasil Telecomunicacoes Ltda - ME"
2804:4f8:8000::/35,28263,"Ensite Brasil Telecomunicacoes Ltda - ME"
2804:4f8:a000::/36,28263,"Ensite Brasil Telecomunicacoes Ltda - ME"
2804:4f8:c000::/36,28263,"Ensite Brasil Telecomunicacoes Ltda - ME"
2804:4f8:e000::/36,28263,"Ensite Brasil Telecomunicacoes Ltda - ME"
2804:4fc::/32,262484,"Zumpa Telecom Telecomunicacoes EIRELI"
2804:500::/32,262485,"S.C. RIO TELECOMUNICACOES E INFORMATICA LTDA"
2804:508::/32,52999,"STARTNET COMERCIO E SERVICOS DE INFORMATICA LTDA"
2804:50c::/32,262488,"Minasnet Telecomunicacoes Ltda"
2804:510::/32,28163,"Cosmonline Informatica Ltda"
2804:514::/32,262490,"Ambiente Virtual Sistemas e Conectividade Ltda"
2804:518::/32,262491,"Saulo J. de Moura Borba ME"
2804:51c::/32,262495,"INOVE TELECOMUNICACOES LTDA ME"
2804:520::/32,262496,"Clonix Telecom Eireli ME"
2804:52c::/32,262501,"Inetweb Informatica e Assessoria Ltda"
2804:534::/32,22177,"Transit do Brasil S/A"
2804:538::/32,53111,"Centro Educacional Nossa Senhora Auxiliadora"
